row_id,col_a,col_b,col_c,col_d
1,FINALIZATION FOR DONATION,,,
2,DATE,DETAILS,AMOUNT (RM),MEMO
3,2024-04-25 00:29:44.852000,BANK TRANSFER,15.0,
4,2024-04-25 00:32:03.366000,BANK TRANSFER,10.0,
5,2024-04-25 00:33:00.217000,BANK TRANSFER,10.0,
6,2024-04-25 00:33:44.469000,BANK TRANSFER,5.0,
7,2024-04-25 00:35:46.216000,BANK TRANSFER,5.0,
8,2024-04-25 00:36:31.230000,BANK TRANSFER,5.0,
9,2024-04-25 00:37:05.566000,BANK TRANSFER,10.0,
10,2024-04-25 00:38:52.051000,BANK TRANSFER,10.0,
11,2024-04-25 00:39:02.319000,BANK TRANSFER,10.0,
12,2024-04-25 00:39:17.320000,BANK TRANSFER,10.0,
13,2024-04-25 00:41:33.330000,BANK TRANSFER,5.0,
14,2024-04-25 00:41:39.328000,BANK TRANSFER,20.0,
15,2024-04-25 00:42:38.109000,BANK TRANSFER,10.0,
16,2024-04-25 00:45:36.999000,BANK TRANSFER,20.0,
17,2024-04-25 00:46:55.618000,BANK TRANSFER,20.0,
18,2024-04-25 00:47:49.494000,BANK TRANSFER,5.0,
19,2024-04-25 00:54:51.204000,BANK TRANSFER,15.0,
20,2024-04-25 00:56:22.838000,BANK TRANSFER,20.0,
21,2024-04-25 00:57:32.186000,BANK TRANSFER,20.0,
22,2024-04-25 00:58:34.787000,BANK TRANSFER,10.0,
23,2024-04-25 01:01:17.808000,BANK TRANSFER,10.0,
24,2024-04-25 01:01:30.954000,BANK TRANSFER,20.0,
25,2024-04-25 01:05:35.685000,BANK TRANSFER,30.0,
26,2024-04-25 01:10:03.954000,BANK TRANSFER,10.0,
27,2024-04-25 01:10:18.953000,BANK TRANSFER,50.0,
28,2024-04-25 01:10:58.886000,BANK TRANSFER,5.0,
29,2024-04-25 01:11:16.834000,BANK TRANSFER,10.0,
30,2024-04-25 01:21:16.792000,BANK TRANSFER,10.0,
31,2024-04-25 01:22:40.178000,BANK TRANSFER,50.0,
32,2024-04-25 01:46:33.708000,BANK TRANSFER,100.0,
33,2024-04-25 02:58:53.480000,BANK TRANSFER,30.0,
34,2024-04-25 07:10:27.285000,BANK TRANSFER,20.0,
35,2024-04-25 07:17:33.015000,BANK TRANSFER,10.0,
36,2024-04-25 07:32:04.172000,BANK TRANSFER,20.0,
37,2024-04-25 07:34:42.049000,BANK TRANSFER,10.0,
38,2024-04-25 07:45:40.705000,BANK TRANSFER,10.0,
39,2024-04-25 07:49:39.019000,BANK TRANSFER,30.0,
40,2024-04-25 07:55:26.213000,BANK TRANSFER,10.0,
41,2024-04-25 08:02:33.014000,BANK TRANSFER,10.0,
42,2024-04-25 08:15:29.338000,BANK TRANSFER,10.0,
43,2024-04-25 08:19:07.562000,BANK TRANSFER,50.0,
44,2024-04-25 08:25:39.550000,BANK TRANSFER,5.0,
45,2024-04-25 08:25:54.245000,BANK TRANSFER,10.0,
46,2024-04-25 08:35:30.739000,BANK TRANSFER,10.0,
47,2024-04-25 08:39:40.590000,BANK TRANSFER,20.0,
48,2024-04-25 08:41:08.537000,BANK TRANSFER,50.0,
49,2024-04-25 08:42:00.216000,BANK TRANSFER,5.0,
50,2024-04-25 08:44:54.551000,BANK TRANSFER,20.0,
51,2024-04-25 00:30:18,TNG,10.0,
52,2024-04-25 08:33:00,TNG,10.0,
53,2024-04-25 08:37:00,TNG,20.0,
54,2024-04-25 08:39:00,TNG,30.0,
55,2024-04-25 13:01:00,TNG,10.0,
56,,OTHERS,155.0,
57,,BALANCE,177.0,
59,,TOTAL,1272,
61,DOG TREATMENT,269.0,,
88,Misc fees (dog food / E-collar / bandages),45.0,,
89,Transport subsidy (tolls / fuel / car wash),60.0,,
112,TOTAL FEE FOR APRIL 22(MONDAY),374.0,,
113,BALANCE (1272-374),898.0,,
115,UPDATE ON 29 APRIL,,,
116,DOG SNACK,19.8,,
138,BALANCE ON 29 APRIL,878.2,,
140,RILEY'S STAFF,,,
141,treatment equipments: guardian&pharmacy*,66.5,,
142,foodand snacks(MAY 1)(124+151.70)*,275.7,,
143,others tools*,122.6,,
144,vaccine,45.0,,
145,neutre*,266.0,,
146,TOTAL:,775.8,,
147,BALANCE,102.4,,
149,XIAOPAO'S,,,
150,treatment*,320.75,,
151,BALANCE:,-218.35,,
153,VOLUNTEER DONATION:,,,
154,21 JUN,100.0,,
155,20 JUN,80.0,,
156,13 JUN,50.0,,
157,10 JUN,60.0,,
158,TOTAL:,290,,
159,BALANCE:,71.65,,
161,FOOD AND SNACK(21 JUN)*,78.0,,
162,RILEY'S SHELTER,150.0,,
163,BALANCE:,-156.35,,
166,*resit reference,,,
