row_id,timestamp,donor_id,amount_rm
2,2024-04-25 00:29:44.852000,Donor_001,15.0
3,2024-04-25 00:32:03.366000,Donor_002,10.0
4,2024-04-25 00:33:00.217000,Donor_003,10.0
5,2024-04-25 00:33:44.469000,Donor_004,5.0
6,2024-04-25 00:35:46.216000,Donor_005,5.0
7,2024-04-25 00:36:31.230000,Donor_006,5.0
8,2024-04-25 00:37:05.566000,Donor_007,10.0
9,2024-04-25 00:38:52.051000,Donor_008,10.0
10,2024-04-25 00:39:02.319000,Donor_009,10.0
11,2024-04-25 00:39:17.320000,Donor_010,10.0
12,2024-04-25 00:41:33.330000,Donor_011,5.0
13,2024-04-25 00:41:39.328000,Donor_012,20.0
14,2024-04-25 00:42:38.109000,Donor_013,10.0
15,2024-04-25 00:45:36.999000,Donor_014,20.0
16,2024-04-25 00:46:55.618000,Donor_015,20.0
17,2024-04-25 00:47:49.494000,Donor_016,5.0
18,2024-04-25 00:54:51.204000,Donor_017,15.0
19,2024-04-25 00:56:22.838000,Donor_018,20.0
20,2024-04-25 00:57:32.186000,Donor_019,20.0
21,2024-04-25 00:58:34.787000,Donor_020,10.0
22,2024-04-25 01:01:17.808000,Donor_021,10.0
23,2024-04-25 01:01:30.954000,Donor_022,20.0
24,2024-04-25 01:05:35.685000,Donor_023,30.0
25,2024-04-25 01:10:03.954000,Donor_024,10.0
26,2024-04-25 01:10:18.953000,Donor_025,50.0
27,2024-04-25 01:10:58.886000,Donor_026,5.0
28,2024-04-25 01:11:16.834000,Donor_027,10.0
29,2024-04-25 01:21:16.792000,Donor_028,10.0
30,2024-04-25 01:22:40.178000,Donor_029,50.0
31,2024-04-25 01:46:33.708000,Donor_030,100.0
32,2024-04-25 02:58:53.480000,Donor_031,30.0
33,2024-04-25 07:10:27.285000,Donor_032,20.0
34,2024-04-25 07:17:33.015000,Donor_033,10.0
35,2024-04-25 07:32:04.172000,Donor_034,20.0
36,2024-04-25 07:34:42.049000,Donor_035,10.0
37,2024-04-25 07:45:40.705000,Donor_036,10.0
38,2024-04-25 07:49:39.019000,Donor_037,30.0
39,2024-04-25 07:55:26.213000,Donor_038,10.0
40,2024-04-25 08:02:33.014000,Donor_039,10.0
41,2024-04-25 08:15:29.338000,Donor_040,10.0
42,2024-04-25 08:19:07.562000,Donor_041,50.0
43,2024-04-25 08:25:39.550000,Donor_042,5.0
44,2024-04-25 08:25:54.245000,Donor_043,10.0
45,2024-04-25 08:35:30.739000,Donor_044,10.0
46,2024-04-25 08:39:40.590000,Donor_045,20.0
47,2024-04-25 08:41:08.537000,Donor_046,50.0
48,2024-04-25 08:42:00.216000,Donor_047,5.0
49,2024-04-25 08:44:54.551000,Donor_048,20.0
51,,Donor_049,860
53,Previous donation balance:,Donor_050,
54,Donations via TNG:,Donor_050,
55,yongfu,Donor_050,
56,nicole,Donor_050,
57,chong xin yi,Donor_050,
58,chin ming zhen ,Donor_050,
59,yow jun yu,Donor_050,
61,total,Donor_050,
62,People who did not fill in the form,Donor_050,
